Score,Computation Time,Standard Deviation,Budget,Find Components,Graph Type,Sampling Model,Prediction Method
59.4,-0.00021240711212158203,7.604092465391398,20,False,None-None,<class 'QueryModels.RandomSampling'>,1fermat
25.0,-0.0004972457885742187,4.642796092394707,20,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
45.4,-0.0003279209136962891,5.015531433014408,20,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
73.7,-0.5418074607849122,5.056349144063002,20,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
36.2,-0.5258214473724365,2.0976176963403033,20,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
63.0,-0.5197131395339966,3.1269438398822897,20,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
68.0,-1.2597795963287353,0.0,20,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
34.0,-1.2487587690353394,0.0,20,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
63.0,-1.241197109222412,0.0,20,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
82.0,-0.9527435302734375,0.0,20,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
26.0,-1.0932159900665284,0.0,20,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
58.0,-0.928352665901184,0.0,20,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
64.0,-1.2862200260162353,0.0,20,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
33.0,-1.2098982095718385,0.0,20,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
55.0,-1.3695075511932373,0.0,20,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
74.5,-5.005090975761414,3.7785946829182113,20,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
29.4,-5.040589332580566,3.9496835316263,20,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
60.0,-5.224887275695801,4.10960933531265,20,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
82.1,-0.5367902517318726,0.3162277660168389,20,epsilon,None-None,<class 'QueryModels.RandomSampling'>,1fermat
33.3,-0.5570021152496338,2.869378562220978,20,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
62.0,-0.6161532402038574,2.054804667656327,20,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
83.0,-0.5976398468017579,1.0540925533894583,20,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
37.9,-0.586052656173706,0.5676462121975491,20,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
68.7,-0.5977296829223633,1.6363916944844759,20,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
82.8,-0.5376106977462769,1.398411797560202,20,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
35.4,-0.5438709259033203,2.2211108331943574,20,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
67.5,-0.5475285530090332,1.2692955176439857,20,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
82.2,-0.5670822143554688,0.6324555320336765,20,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
25.2,-0.5672893524169922,0.42163702135578396,20,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
59.4,-0.5783440828323364,1.4298407059684808,20,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
82.0,-0.529623007774353,0.0,20,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
35.0,-0.542785382270813,1.6329931618554514,20,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
64.4,-0.5265915393829346,1.173787790777268,20,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
82.6,-0.5295272827148437,0.9660917830792938,20,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
33.0,-0.5293305397033692,1.9436506316150997,20,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
58.9,-0.5363086700439453,2.0248456731316593,20,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
75.4,-0.00021240711212158203,3.893013685508383,40,False,None-None,<class 'QueryModels.RandomSampling'>,1fermat
34.8,-0.0004972457885742187,4.565571644870382,40,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
64.2,-0.0003279209136962891,2.820559440174157,40,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
86.7,-0.5418074607849122,0.48304589153964644,40,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
42.3,-0.5258214473724365,1.3374935098492582,40,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
78.4,-0.5197131395339966,1.8973665961010266,40,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
86.0,-1.2597795963287353,0.0,40,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
38.0,-1.2487587690353394,0.0,40,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
82.0,-1.241197109222412,0.0,40,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
84.0,-0.9527435302734375,0.0,40,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
27.0,-1.0932159900665284,0.0,40,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
62.0,-0.928352665901184,0.0,40,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
82.0,-1.2862200260162353,0.0,40,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
42.0,-1.2098982095718385,0.0,40,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
76.0,-1.3695075511932373,0.0,40,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
87.3,-5.005090975761414,0.6749485577105504,40,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
39.3,-5.040589332580566,1.1595018087284055,40,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
79.1,-5.224887275695801,1.5951314818673867,40,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
84.3,-0.5367902517318726,2.3118054512532935,40,epsilon,None-None,<class 'QueryModels.RandomSampling'>,1fermat
37.2,-0.5570021152496338,2.9363620727393647,40,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
72.0,-0.6161532402038574,2.211083193570266,40,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
86.1,-0.5976398468017579,0.3162277660168401,40,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
43.9,-0.586052656173706,0.9944289260117539,40,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
79.3,-0.5977296829223633,0.9486832980505118,40,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
86.4,-0.5376106977462769,0.5163977794943239,40,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
43.5,-0.5438709259033203,0.8498365855987978,40,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
78.8,-0.5475285530090332,0.9189365834726823,40,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
83.8,-0.5670822143554688,2.347575581554534,40,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
35.4,-0.5672893524169922,2.836272984824353,40,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
67.3,-0.5783440828323364,2.4060109910158096,40,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
85.0,-0.529623007774353,1.0540925533894616,40,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
44.8,-0.542785382270813,1.5491933384829657,40,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
74.7,-0.5265915393829346,1.1595018087284048,40,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
87.1,-0.5295272827148437,0.8755950357709126,40,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
40.8,-0.5293305397033692,1.813529401164725,40,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
75.5,-0.5363086700439453,1.9578900207451218,40,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
