Score,Computation Time,Standard Deviation,Budget,Find Components,Graph Type,Sampling Model,Prediction Method
69.1,-0.00012362003326416016,6.983313444681305,5,False,None-None,<class 'QueryModels.RandomSampling'>,1fermat
61.6,-0.00015823841094970704,10.606077922063786,5,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
58.6,-0.00016193389892578126,8.553102101317133,5,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
75.9,-0.012909674644470214,7.504813270310073,5,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
74.8,-0.01168825626373291,6.663332499583072,5,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
69.8,-0.057276010513305664,6.42564307201146,5,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
63.0,-1.2448604345321654,0.0,5,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
63.0,-1.2969930648803711,0.0,5,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
61.0,-1.3274606466293335,0.0,5,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
66.0,-1.2086919784545898,0.0,5,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
66.0,-1.1065772771835327,0.0,5,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
65.0,-1.2082328796386719,0.0,5,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
77.0,-0.5034895896911621,0.0,5,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
66.0,-0.4931330680847168,0.0,5,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
63.0,-0.5206626653671265,0.0,5,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
78.2,-6.476305294036865,9.02835040918944,5,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
75.9,-6.458662629127502,3.92852813828962,5,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
69.9,-6.491834568977356,7.5196040084863816,5,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
65.6,-0.0854412317276001,0.516397779494321,5,epsilon,None-None,<class 'QueryModels.RandomSampling'>,1fermat
64.2,-0.08298594951629638,1.6865480854231354,5,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
60.3,-0.09790291786193847,2.2632326929023927,5,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
65.0,-0.09510846138000488,0.0,5,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
57.0,-0.08417448997497559,0.0,5,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
56.0,-0.08705337047576904,0.0,5,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
65.0,-0.0818328857421875,0.0,5,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
62.0,-0.0757131576538086,0.0,5,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
60.0,-0.07302277088165283,0.0,5,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
66.0,-0.09681894779205322,0.0,5,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
61.0,-0.07469055652618409,0.0,5,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
59.0,-0.07819514274597168,0.0,5,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
66.0,-0.0791170835494995,0.0,5,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
65.0,-0.07042517662048339,0.0,5,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
64.0,-0.07671678066253662,0.0,5,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
65.0,-0.09409987926483154,0.0,5,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
66.0,-0.11700732707977295,0.0,5,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
65.0,-0.09351952075958252,0.0,5,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
75.5,-0.00012362003326416016,8.74642784226795,10,False,None-None,<class 'QueryModels.RandomSampling'>,1fermat
72.9,-0.00015823841094970704,9.243015380996255,10,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
74.4,-0.00016193389892578126,9.559172442098626,10,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
91.4,-0.012909674644470214,3.062315754094895,10,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
90.6,-0.01168825626373291,3.405877273185279,10,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
85.6,-0.057276010513305664,3.2727833889689504,10,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
92.0,-1.2448604345321654,0.0,10,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
90.0,-1.2969930648803711,0.0,10,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
87.0,-1.3274606466293335,0.0,10,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
76.0,-1.2086919784545898,0.0,10,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
81.0,-1.1065772771835327,0.0,10,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
73.0,-1.2082328796386719,0.0,10,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
81.0,-0.5034895896911621,0.0,10,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
80.0,-0.4931330680847168,0.0,10,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
78.0,-0.5206626653671265,0.0,10,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
89.6,-6.476305294036865,2.9514591494904834,10,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
92.5,-6.458662629127502,3.02765035409749,10,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
86.2,-6.491834568977356,3.7357135269658404,10,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
81.0,-0.0854412317276001,8.178562764256863,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,1fermat
82.7,-0.08298594951629638,5.657836257007718,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
81.6,-0.09790291786193847,5.337498373666157,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
93.6,-0.09510846138000488,3.062315754094894,10,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
92.0,-0.08417448997497559,3.1972210155418135,10,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
90.5,-0.08705337047576904,2.5927248643506755,10,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
91.2,-0.0818328857421875,1.0327955589886435,10,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
86.9,-0.0757131576538086,2.2335820757001277,10,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
83.2,-0.07302277088165283,2.6161889160464793,10,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
79.2,-0.09681894779205322,1.3165611772087658,10,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
80.5,-0.07469055652618409,0.7071067811865483,10,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
76.9,-0.07819514274597168,3.6953424138441577,10,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
