Score,Computation Time,Standard Deviation,Budget,Find Components,Graph Type,Sampling Model,Prediction Method
53.9,-0.00014035701751708985,6.522610247779983,5,False,None-None,<class 'QueryModels.RandomSampling'>,1fermat
55.1,-0.00015799999237060548,7.202622979011033,5,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
55.5,-0.00018362998962402345,3.3747427885527643,5,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
50.8,-0.04863691329956055,5.138093031466051,5,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
48.5,-0.01597602367401123,5.816642788871717,5,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
47.5,-0.17227962017059326,5.60257877132387,5,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
59.0,-2.4568513870239257,0.0,5,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
62.0,-2.3683417558670046,0.0,5,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
59.0,-2.4939852952957153,0.0,5,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
60.0,-2.4327060699462892,0.0,5,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
66.0,-2.559644174575806,0.0,5,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
65.0,-2.471561241149902,0.0,5,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
56.0,-0.473384428024292,0.0,5,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
59.0,-0.49786105155944826,0.0,5,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
58.0,-0.42907302379608153,0.0,5,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
54.1,-6.744500613212585,3.784471194529326,5,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
57.0,-6.65568699836731,6.531972647421808,5,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
50.9,-6.810976886749268,6.640783086353597,5,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
53.3,-0.08960902690887451,0.48304589153964744,5,epsilon,None-None,<class 'QueryModels.RandomSampling'>,1fermat
54.5,-0.09935548305511474,3.5978388574871514,5,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
54.3,-0.077697491645813,3.6224607965059086,5,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
54.0,-0.14374446868896484,0.0,5,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
57.0,-0.09168870449066162,0.0,5,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
55.0,-0.10231800079345703,0.0,5,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
53.0,-0.09628856182098389,0.0,5,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
57.0,-0.100388503074646,0.0,5,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
53.0,-0.0805126667022705,0.0,5,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
53.0,-0.07722771167755127,0.0,5,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
56.0,-0.06912126541137695,0.0,5,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
52.0,-0.08289313316345215,0.0,5,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
53.0,-0.084228515625,0.0,5,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
53.0,-0.08304100036621094,0.0,5,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
52.0,-0.14182493686676026,0.0,5,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
53.0,-0.09787452220916748,0.0,5,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
48.0,-0.17158935070037842,0.0,5,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
50.0,-0.1073843240737915,0.0,5,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
58.1,-0.00014035701751708985,2.6853512081497106,10,False,None-None,<class 'QueryModels.RandomSampling'>,1fermat
57.0,-0.00015799999237060548,4.136557881996953,10,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
56.2,-0.00018362998962402345,3.1552425509864626,10,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
56.5,-0.04863691329956055,6.311365409587164,10,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
52.7,-0.01597602367401123,6.183310871477623,10,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
49.8,-0.17227962017059326,5.513619500836088,10,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
60.0,-2.4568513870239257,0.0,10,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
