Score,Computation Time,Standard Deviation,Budget,Find Components,Graph Type,Sampling Model,Prediction Method
57.06666666666667,1772049315.792308,12.203434333162509,10,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
51.13333333333333,1772049315.226236,11.306550987728098,10,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
57.266666666666666,1772049322.2348757,18.68332589949302,10,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
52.6,1772049320.8054695,11.794671920587097,10,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
69.46666666666667,1772049317.5802333,13.840244974435278,10,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
65.66666666666667,1772049316.5231657,12.664160153004714,10,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
59.06666666666667,1772049311.8069952,11.822899491281838,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
51.0,1772049311.268529,8.936282384590523,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
59.4,1772049317.2650213,8.757037985855394,10,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
56.8,1772049314.88695,11.50279469147762,10,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
66.2,1772049313.0806925,9.5333999331673,10,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
62.93333333333333,1772049312.1944916,10.284986746756283,10,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
55.86666666666667,1772049313.6872098,9.984750277059415,10,knn,None-None,<class 'QueryModels.RandomSampling'>,2fermat
50.46666666666667,1772049313.151398,10.861903718085168,10,knn,None-None,<class 'QueryModels.RandomSampling'>,euclidean
59.733333333333334,1772049324.8870826,15.116058947200427,10,knn,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
55.46666666666667,1772049318.780927,15.459008777439529,10,knn,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
71.0,1772049315.2802851,15.491933384829668,10,knn,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
66.26666666666667,1772049314.1219094,14.394774184040672,10,knn,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
70.06666666666666,1772049316.140208,8.110545751116405,20,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
69.13333333333334,1772049315.2389975,5.878127333801212,20,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
66.13333333333334,1772049322.5279348,14.322144026779284,20,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
62.13333333333333,1772049320.8176897,7.753954444269678,20,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
77.13333333333334,1772049317.9805245,11.764757702967103,20,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
74.33333333333333,1772049316.5357072,11.542880716619022,20,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
