Score,Computation Time,Budget,Find Components,Graph Type,Sampling Model,Prediction Method
51.0,-0.9326972961425781,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
62.0,-0.9326972961425781,20,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
62.0,-0.9326972961425781,30,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
76.0,-0.9326972961425781,40,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
44.0,-1.0843925476074219,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,1fermat
70.0,-1.0843925476074219,20,epsilon,None-None,<class 'QueryModels.RandomSampling'>,1fermat
76.0,-1.0843925476074219,30,epsilon,None-None,<class 'QueryModels.RandomSampling'>,1fermat
70.0,-1.0843925476074219,40,epsilon,None-None,<class 'QueryModels.RandomSampling'>,1fermat
34.0,-0.9637680053710938,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
32.0,-0.9637680053710938,20,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
32.0,-0.9637680053710938,30,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
32.0,-0.9637680053710938,40,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
62.0,-1.0208821296691895,10,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
77.0,-1.0208821296691895,20,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
84.0,-1.0208821296691895,30,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
85.0,-1.0208821296691895,40,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
71.0,-1.041060447692871,10,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
76.0,-1.041060447692871,20,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
82.0,-1.041060447692871,30,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
83.0,-1.041060447692871,40,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
38.0,-1.0855367183685303,10,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
36.0,-1.0855367183685303,20,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
37.0,-1.0855367183685303,30,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
38.0,-1.0855367183685303,40,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
