Score,Computation Time,Standard Deviation,Budget,Find Components,Graph Type,Sampling Model,Prediction Method
50.4,-0.00037131309509277346,10.807404868885037,10,False,None-None,<class 'QueryModels.RandomSampling'>,1fermat
34.6,-0.0002800464630126953,4.159326868617085,10,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
44.4,-0.0002975940704345703,5.128352561983234,10,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
68.4,-0.021941137313842774,6.877499545619759,10,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
55.0,-0.04365100860595703,6.442049363362563,10,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
63.2,-0.10759696960449219,4.024922359499622,10,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
72.8,-0.680884313583374,10.009995004993758,10,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
54.2,-0.6694820880889892,7.293833011524187,10,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
65.8,-0.6600239276885986,8.01249024960405,10,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
82.6,-0.3700686454772949,3.7148351242013433,10,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
63.4,-0.3739627838134766,3.9749213828703587,10,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
79.8,-0.3626497745513916,2.588435821108957,10,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
75.0,-1.7789715766906737,4.062019202317981,10,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
56.2,-1.7120511054992675,7.9498427657407165,10,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
68.2,-1.675446081161499,4.08656334834051,10,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
61.2,-0.0407289981842041,9.67987603226405,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,1fermat
41.4,-0.03879847526550293,11.781341180018511,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
56.6,-0.03815279006958008,8.933084573650916,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
81.0,-0.04131827354431152,4.74341649025257,10,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
59.2,-0.04006357192993164,4.658325879540846,10,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
79.0,-0.03796205520629883,3.240370349203929,10,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
71.8,-0.040723133087158206,7.854934754662193,10,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
