Score,Computation Time,Budget,Find Components,Graph Type,Sampling Model,Prediction Method
60.0,-0.030048370361328125,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
73.0,-0.030048370361328125,20,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
76.0,-0.030048370361328125,30,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
87.0,-0.030048370361328125,40,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
65.0,-0.033490896224975586,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,1fermat
84.0,-0.033490896224975586,20,epsilon,None-None,<class 'QueryModels.RandomSampling'>,1fermat
88.0,-0.033490896224975586,30,epsilon,None-None,<class 'QueryModels.RandomSampling'>,1fermat
89.0,-0.033490896224975586,40,epsilon,None-None,<class 'QueryModels.RandomSampling'>,1fermat
60.0,-0.03171277046203613,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
57.0,-0.03171277046203613,20,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
60.0,-0.03171277046203613,30,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
65.0,-0.03171277046203613,40,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
75.0,-0.032088279724121094,10,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
87.0,-0.032088279724121094,20,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
90.0,-0.032088279724121094,30,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
91.0,-0.032088279724121094,40,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
81.0,-0.03483748435974121,10,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
88.0,-0.03483748435974121,20,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
88.0,-0.03483748435974121,30,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
90.0,-0.03483748435974121,40,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
60.0,-0.03443479537963867,10,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
66.0,-0.03443479537963867,20,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
66.0,-0.03443479537963867,30,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
69.0,-0.03443479537963867,40,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
68.0,-0.034577131271362305,10,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
82.0,-0.034577131271362305,20,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
88.0,-0.034577131271362305,30,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
90.0,-0.034577131271362305,40,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
81.0,-0.034330129623413086,10,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
87.0,-0.034330129623413086,20,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
86.0,-0.034330129623413086,30,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
88.0,-0.034330129623413086,40,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
41.0,-0.03612565994262695,10,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
63.0,-0.03612565994262695,20,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
70.0,-0.03612565994262695,30,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
70.0,-0.03612565994262695,40,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
72.0,-0.038083791732788086,10,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
85.0,-0.038083791732788086,20,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
88.0,-0.038083791732788086,30,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
