Score,Computation Time,Standard Deviation,Budget,Find Components,Graph Type,Sampling Model,Prediction Method
84.8,-0.00020346641540527343,11.882760622010355,10,False,None-None,<class 'QueryModels.RandomSampling'>,1fermat
98.8,-0.0002467632293701172,2.6832815729997477,10,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
86.0,-0.00024065971374511718,3.391164991562635,10,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
91.6,-0.012749767303466797,2.966479394838264,10,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
100.0,-0.01199336051940918,0.0,10,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
98.0,-0.01210789680480957,2.0,10,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
86.8,-0.5008749008178711,7.120393247567158,10,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
100.0,-0.4866741180419922,0.0,10,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
88.4,-0.5130317687988282,5.029910535983716,10,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
83.2,-0.4177406311035156,13.989281611290838,10,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
93.2,-0.43117465972900393,12.597618822618818,10,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
92.2,-0.4305302143096924,4.43846820423443,10,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
62.8,-0.35578489303588867,1.3038404810405297,10,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
63.0,-0.364056921005249,0.9999999999999993,10,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
65.8,-0.3618410587310791,4.868264577855232,10,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
93.4,-1.9620068073272705,2.5099800796022254,10,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
100.0,-1.970717477798462,0.0,10,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
99.4,-1.9821777820587159,0.8944271909999173,10,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
97.4,-0.025680971145629884,1.5165750888103098,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,1fermat
100.0,-0.02461247444152832,0.0,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
98.4,-0.026646947860717772,1.8165902124584945,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
96.6,-0.02505464553833008,0.8944271909999153,10,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
100.0,-0.025542306900024413,0.0,10,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
99.8,-0.026900005340576173,0.44721359549995715,10,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
97.4,-0.026221799850463866,2.0736441353327706,10,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
100.0,-0.02384777069091797,0.0,10,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
98.4,-0.02578868865966797,1.516575088810311,10,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
96.0,-0.025782203674316405,2.5495097567963914,10,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
100.0,-0.024707555770874023,0.0,10,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
98.8,-0.025875616073608398,1.3038404810405302,10,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
97.2,-0.02706284523010254,0.8366600265340751,10,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
100.0,-0.02779860496520996,0.0,10,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
99.0,-0.026598358154296876,1.2247448713915887,10,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
98.0,-0.029032325744628905,0.7071067811865469,10,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
100.0,-0.02842097282409668,0.0,10,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
98.4,-0.02655634880065918,3.04959013639538,10,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
90.6,-0.00020346641540527343,7.127411872482185,20,False,None-None,<class 'QueryModels.RandomSampling'>,1fermat
98.8,-0.0002467632293701172,2.6832815729997477,20,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
94.0,-0.00024065971374511718,3.3911649915626336,20,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
96.8,-0.012749767303466797,1.7888543819998313,20,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
100.0,-0.01199336051940918,0.0,20,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
100.0,-0.01210789680480957,0.0,20,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
95.2,-0.5008749008178711,1.6431676725154982,20,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
100.0,-0.4866741180419922,0.0,20,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
98.8,-0.5130317687988282,0.8366600265340757,20,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
92.2,-0.4177406311035156,4.024922359499621,20,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
99.0,-0.43117465972900393,2.236067977499789,20,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
98.2,-0.4305302143096924,1.6431676725154987,20,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
84.8,-0.35578489303588867,10.183319694480772,20,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
100.0,-0.364056921005249,0.0,20,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
89.2,-0.3618410587310791,3.271085446759225,20,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
96.8,-1.9620068073272705,0.8366600265340757,20,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
100.0,-1.970717477798462,0.0,20,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
100.0,-1.9821777820587159,0.0,20,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
98.2,-0.025680971145629884,1.6431676725154987,20,epsilon,None-None,<class 'QueryModels.RandomSampling'>,1fermat
100.0,-0.02461247444152832,0.0,20,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
99.4,-0.026646947860717772,0.8944271909999153,20,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
97.8,-0.02505464553833008,1.7888543819998313,20,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
100.0,-0.025542306900024413,0.0,20,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
99.8,-0.026900005340576173,0.44721359549995715,20,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
