Score,Computation Time,Budget,Find Components,Graph Type,Sampling Model,Prediction Method
92.0,-0.20327019691467285,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
95.0,-0.20327019691467285,20,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
96.0,-0.20327019691467285,30,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
98.0,-0.20327019691467285,40,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
100.0,-0.20327019691467285,50,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
100.0,-0.20327019691467285,75,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
100.0,-0.20327019691467285,100,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
100.0,-0.2120652198791504,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
100.0,-0.2120652198791504,20,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
100.0,-0.2120652198791504,30,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
100.0,-0.2120652198791504,40,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
100.0,-0.2120652198791504,50,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
100.0,-0.2120652198791504,75,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
100.0,-0.2120652198791504,100,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
96.0,-0.14290165901184082,10,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
99.0,-0.14290165901184082,20,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
100.0,-0.14290165901184082,30,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
100.0,-0.14290165901184082,40,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
100.0,-0.14290165901184082,50,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
100.0,-0.14290165901184082,75,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
100.0,-0.14290165901184082,100,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
100.0,-0.140089750289917,10,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
100.0,-0.140089750289917,20,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
100.0,-0.140089750289917,30,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
100.0,-0.140089750289917,40,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
