Score,Computation Time,Standard Deviation,Budget,Find Components,Graph Type,Sampling Model,Prediction Method
72.0,1772057286.7713778,16.746001654979363,10,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
68.93333333333334,1772057286.5949786,15.681958089594856,10,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
59.06666666666667,1772057292.7258682,11.498240030957946,10,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
60.93333333333333,1772057291.3955743,13.418892154968182,10,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
71.66666666666667,1772057288.7315438,16.710418763097923,10,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
73.46666666666667,1772057288.2199278,11.867522708556123,10,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
78.93333333333334,1772057282.930841,16.294024613189894,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
79.53333333333333,1772057282.6609824,20.314901872646054,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
82.73333333333333,1772057288.3994539,17.71386328221352,10,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
79.8,1772057285.3144372,19.698440837502126,10,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
81.33333333333333,1772057283.8099713,16.176114078067904,10,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
79.86666666666666,1772057283.12198,17.9398465778862,10,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
73.73333333333333,1772057284.7593765,15.252478331015432,10,knn,None-None,<class 'QueryModels.RandomSampling'>,2fermat
66.26666666666667,1772057284.5443943,14.14954146993901,10,knn,None-None,<class 'QueryModels.RandomSampling'>,euclidean
76.06666666666666,1772057294.1570241,18.475724098188437,10,knn,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
71.53333333333333,1772057289.0076058,17.15420259489396,10,knn,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
81.0,1772057286.0263848,14.985707476506692,10,knn,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
76.33333333333333,1772057285.1015062,14.734152099637024,10,knn,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
81.0,1772057286.8737605,18.681541692269406,20,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
79.13333333333334,1772057286.6068857,18.612080050588755,20,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
66.93333333333334,1772057292.8230288,17.612765932968163,20,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
65.6,1772057291.4069884,15.787879618781707,20,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
81.06666666666666,1772057288.836363,15.8945932706092,20,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
82.66666666666667,1772057288.231106,17.13670524536927,20,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
84.6,1772057283.0360174,17.057884645272654,20,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
82.66666666666667,1772057282.6783583,20.183680347769887,20,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
84.4,1772057290.3473344,19.924141852823386,20,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
82.33333333333333,1772057287.0508943,20.236694629405502,20,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
86.4,1772057284.0223815,16.016955301893592,20,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
84.46666666666667,1772057283.2522433,18.415314537737594,20,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
81.66666666666667,1772057284.863542,16.93545168602018,20,knn,None-None,<class 'QueryModels.RandomSampling'>,2fermat
79.0,1772057284.55707,18.818683725033935,20,knn,None-None,<class 'QueryModels.RandomSampling'>,euclidean
82.06666666666666,1772057297.4312906,15.876607530157901,20,knn,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
78.2,1772057292.1839423,17.889342397879567,20,knn,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
84.2,1772057286.3461232,15.010472534676772,20,knn,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
83.93333333333334,1772057285.3328493,18.191311374494404,20,knn,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
83.6,1772057286.9781785,17.799678969817723,30,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
82.0,1772057286.6184587,19.712215212183246,30,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
70.4,1772057292.9271176,18.306126999294136,30,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
67.46666666666667,1772057291.41979,18.18109955289781,30,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
85.46666666666667,1772057288.9433339,14.632969948845295,30,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
86.26666666666667,1772057288.242538,17.84243203580669,30,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
86.2,1772057283.1413999,16.406444726735547,30,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
84.73333333333333,1772057282.697203,18.679502389619742,30,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
85.2,1772057292.3096404,18.551857819944306,30,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
83.93333333333334,1772057288.87592,20.387204203570807,30,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
87.8,1772057284.2735784,14.702769418426877,30,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
86.06666666666666,1772057283.4207208,18.285305054944555,30,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
83.93333333333334,1772057284.9693406,16.289640295365057,30,knn,None-None,<class 'QueryModels.RandomSampling'>,2fermat
83.93333333333334,1772057284.5703497,18.11655386130386,30,knn,None-None,<class 'QueryModels.RandomSampling'>,euclidean
85.53333333333333,1772057300.6795373,14.735121632474215,30,knn,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
81.33333333333333,1772057295.2661757,18.17638446944145,30,knn,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
86.4,1772057286.750122,14.922657748729423,30,knn,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
86.33333333333333,1772057285.6558423,18.046236911518886,30,knn,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
85.66666666666667,1772057287.0828214,16.299284237863535,40,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
84.4,1772057286.630121,18.034886826845984,40,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
72.46666666666667,1772057293.0312607,17.983590403740955,40,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
68.46666666666667,1772057291.4324424,18.465669562216057,40,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
88.53333333333333,1772057289.0498164,13.4794376030767,40,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
87.53333333333333,1772057288.254689,17.116686372687685,40,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
87.13333333333334,1772057283.249786,14.913400813011222,40,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
85.06666666666666,1772057282.7163815,18.952823636849573,40,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
87.66666666666667,1772057294.2041485,15.281485841494913,40,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
85.46666666666667,1772057290.626015,19.309015905480404,40,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
89.2,1772057284.5670083,12.935002346899118,40,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
87.8,1772057283.6306298,16.716971701152783,40,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
86.46666666666667,1772057285.074075,14.544840354998088,40,knn,None-None,<class 'QueryModels.RandomSampling'>,2fermat
84.26666666666667,1772057284.584258,18.15593829131657,40,knn,None-None,<class 'QueryModels.RandomSampling'>,euclidean
87.46666666666667,1772057303.9158537,14.050249955410893,40,knn,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
84.06666666666666,1772057298.4211266,18.057316153478254,40,knn,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
88.4,1772057287.2335389,13.211466880814449,40,knn,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
87.66666666666667,1772057286.0640035,16.804194487715034,40,knn,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
