Score,Computation Time,Budget,Find Components,Graph Type,Sampling Model,Prediction Method
79.0,-0.024000883102416992,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
91.0,-0.024000883102416992,20,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
90.0,-0.024000883102416992,30,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
92.0,-0.024000883102416992,40,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
97.0,-0.026469707489013672,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,1fermat
92.0,-0.026469707489013672,20,epsilon,None-None,<class 'QueryModels.RandomSampling'>,1fermat
96.0,-0.026469707489013672,30,epsilon,None-None,<class 'QueryModels.RandomSampling'>,1fermat
96.0,-0.026469707489013672,40,epsilon,None-None,<class 'QueryModels.RandomSampling'>,1fermat
82.0,-0.02673625946044922,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
96.0,-0.02673625946044922,20,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
97.0,-0.02673625946044922,30,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
92.0,-0.02673625946044922,40,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
54.0,-0.025675296783447266,10,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
96.0,-0.025675296783447266,20,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
97.0,-0.025675296783447266,30,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
98.0,-0.025675296783447266,40,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
79.0,-0.02590465545654297,10,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
97.0,-0.02590465545654297,20,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
97.0,-0.02590465545654297,30,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
97.0,-0.02590465545654297,40,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
92.0,-0.021070003509521484,10,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
98.0,-0.021070003509521484,20,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
98.0,-0.021070003509521484,30,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
98.0,-0.021070003509521484,40,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
76.0,-0.027323007583618164,10,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
94.0,-0.027323007583618164,20,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
96.0,-0.027323007583618164,30,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
99.0,-0.027323007583618164,40,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
96.0,-0.02594304084777832,10,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
96.0,-0.02594304084777832,20,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
96.0,-0.02594304084777832,30,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
97.0,-0.02594304084777832,40,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
94.0,-0.020456790924072266,10,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
98.0,-0.020456790924072266,20,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
99.0,-0.020456790924072266,30,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
99.0,-0.020456790924072266,40,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
81.0,-0.02143716812133789,10,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
95.0,-0.02143716812133789,20,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
99.0,-0.02143716812133789,30,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
99.0,-0.02143716812133789,40,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
89.0,-0.021332263946533203,10,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
94.0,-0.021332263946533203,20,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
94.0,-0.021332263946533203,30,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
97.0,-0.021332263946533203,40,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
90.0,-0.024522781372070312,10,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
99.0,-0.024522781372070312,20,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
99.0,-0.024522781372070312,30,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
99.0,-0.024522781372070312,40,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
89.0,-0.025147438049316406,10,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
95.0,-0.025147438049316406,20,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
96.0,-0.025147438049316406,30,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
96.0,-0.025147438049316406,40,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
81.0,-0.024959087371826172,10,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
83.0,-0.024959087371826172,20,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
97.0,-0.024959087371826172,30,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
97.0,-0.024959087371826172,40,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
