Score,Computation Time,Standard Deviation,Budget,Find Components,Graph Type,Sampling Model,Prediction Method
61.2,-0.00029816627502441404,5.630275304103699,10,False,None-None,<class 'QueryModels.RandomSampling'>,1fermat
64.2,-0.0002679347991943359,5.974947698515862,10,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
63.0,-0.00027675628662109374,10.653637876331258,10,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
72.4,-0.019371700286865235,8.018728078691781,10,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
75.4,-0.01975116729736328,7.436396977031284,10,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
67.8,-0.018316364288330077,9.364827814754525,10,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
50.8,-1.55133376121521,9.364827814754525,10,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
59.4,-1.5798892498016357,3.911521443121589,10,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
63.2,-1.5342577934265136,9.418067742376884,10,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
70.2,-1.2127624034881592,5.263078946776308,10,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
73.4,-1.1018196105957032,2.509980079602227,10,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
69.4,-1.1830977916717529,6.693280212272604,10,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
73.4,-0.4716358184814453,9.555103348473004,10,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
77.4,-0.46687607765197753,5.8991524815010505,10,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
69.8,-0.4640187740325928,6.870225614927065,10,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
76.2,-1.8765750885009767,2.387467277262665,10,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
70.4,-1.856996726989746,8.532291603080614,10,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
71.4,-1.873344326019287,9.555103348473002,10,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
62.6,-0.038075733184814456,6.4265076052238514,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,1fermat
65.4,-0.03442230224609375,8.384509526501834,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
59.4,-0.03659453392028809,9.370165420097983,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
76.2,-0.03781623840332031,2.387467277262666,10,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
