Score,Computation Time,Budget,Find Components,Graph Type,Sampling Model,Prediction Method
67.0,1772049167.4308815,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
79.0,1772049167.43761,20,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
79.0,1772049167.4437113,30,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
85.0,1772049167.4499888,40,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
76.0,1772049167.4426832,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
76.0,1772049167.560549,20,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
81.0,1772049167.6712844,30,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
79.0,1772049167.809891,40,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
64.0,1772049167.5666354,10,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
70.0,1772049167.7602742,20,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
72.0,1772049168.0096834,30,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
77.0,1772049168.3117094,40,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
76.0,1772049167.5831342,10,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
81.0,1772049167.8868558,20,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
83.0,1772049168.2411134,30,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
84.0,1772049168.6578598,40,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
68.0,1772049167.9900439,10,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
78.0,1772049168.5249016,20,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
83.0,1772049169.1484706,30,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
82.0,1772049169.897854,40,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
66.0,1772049167.974321,10,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
78.0,1772049168.6207924,20,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
78.0,1772049169.331599,30,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
79.0,1772049170.1437018,40,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
56.0,1772049167.383282,10,knn,None-None,<class 'QueryModels.RandomSampling'>,euclidean
71.0,1772049167.3922348,20,knn,None-None,<class 'QueryModels.RandomSampling'>,euclidean
79.0,1772049167.4048054,30,knn,None-None,<class 'QueryModels.RandomSampling'>,euclidean
76.0,1772049167.4118989,40,knn,None-None,<class 'QueryModels.RandomSampling'>,euclidean
67.0,1772049167.5495849,10,knn,None-None,<class 'QueryModels.RandomSampling'>,2fermat
66.0,1772049167.6583757,20,knn,None-None,<class 'QueryModels.RandomSampling'>,2fermat
62.0,1772049167.787492,30,knn,None-None,<class 'QueryModels.RandomSampling'>,2fermat
80.0,1772049167.9302628,40,knn,None-None,<class 'QueryModels.RandomSampling'>,2fermat
69.0,1772049167.6394277,10,knn,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
73.0,1772049167.9403138,20,knn,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
74.0,1772049168.3445063,30,knn,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
76.0,1772049168.8079839,40,knn,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
59.0,1772049167.7803218,10,knn,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
60.0,1772049168.2379045,20,knn,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
75.0,1772049168.7839217,30,knn,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
76.0,1772049169.4359117,40,knn,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
81.0,1772049168.6897712,10,knn,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
82.0,1772049170.0165138,20,knn,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
82.0,1772049172.00368,30,knn,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
84.0,1772049174.5342672,40,knn,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
80.0,1772049168.905807,10,knn,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
82.0,1772049170.5137436,20,knn,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
83.0,1772049173.373031,30,knn,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
83.0,1772049176.3045976,40,knn,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
45.0,1772049167.4405282,10,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
54.0,1772049167.446025,20,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
58.0,1772049167.4513419,30,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
65.0,1772049167.4562795,40,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
70.0,1772049167.5308092,10,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
72.0,1772049167.648114,20,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
77.0,1772049167.7812376,30,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
77.0,1772049167.9265933,40,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
65.0,1772049168.1192021,10,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
71.0,1772049168.1256735,20,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
71.0,1772049168.1316895,30,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
72.0,1772049168.1378374,40,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
63.0,1772049168.2412782,10,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
63.0,1772049168.3442078,20,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
73.0,1772049168.4543374,30,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
72.0,1772049168.5979955,40,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
64.0,1772049169.221058,10,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
66.0,1772049169.2267988,20,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
67.0,1772049169.2329872,30,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
67.0,1772049169.2388227,40,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
66.0,1772049170.0311413,10,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
77.0,1772049170.1482034,20,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
79.0,1772049170.2696836,30,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
79.0,1772049170.3873055,40,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
54.0,1772049168.6975336,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
60.0,1772049168.7078283,20,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
69.0,1772049168.7200863,30,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
72.0,1772049168.731046,40,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
37.0,1772049168.8466866,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
69.0,1772049169.0482829,20,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
71.0,1772049169.256053,30,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
77.0,1772049169.5263982,40,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
47.0,1772049168.9705203,10,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
61.0,1772049169.266126,20,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
65.0,1772049169.6550796,30,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
68.0,1772049170.076669,40,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
52.0,1772049169.455012,10,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
64.0,1772049170.0280511,20,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
66.0,1772049170.7915602,30,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
67.0,1772049172.0745227,40,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
49.0,1772049173.3609674,10,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
67.0,1772049178.2649097,20,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
68.0,1772049182.8111064,30,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
76.0,1772049188.0276206,40,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
38.0,1772049174.1471186,10,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
59.0,1772049179.3744612,20,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
75.0,1772049184.3872674,30,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
73.0,1772049190.9309545,40,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
46.0,1772049169.3181188,10,knn,None-None,<class 'QueryModels.RandomSampling'>,euclidean
50.0,1772049169.331368,20,knn,None-None,<class 'QueryModels.RandomSampling'>,euclidean
70.0,1772049169.3454878,30,knn,None-None,<class 'QueryModels.RandomSampling'>,euclidean
71.0,1772049169.3604884,40,knn,None-None,<class 'QueryModels.RandomSampling'>,euclidean
58.0,1772049169.5995705,10,knn,None-None,<class 'QueryModels.RandomSampling'>,2fermat
66.0,1772049169.8581028,20,knn,None-None,<class 'QueryModels.RandomSampling'>,2fermat
70.0,1772049170.1272862,30,knn,None-None,<class 'QueryModels.RandomSampling'>,2fermat
77.0,1772049170.3633394,40,knn,None-None,<class 'QueryModels.RandomSampling'>,2fermat
50.0,1772049170.114557,10,knn,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
64.0,1772049170.7444048,20,knn,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
69.0,1772049171.6739829,30,knn,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
70.0,1772049172.8688705,40,knn,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
59.0,1772049170.5045846,10,knn,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
