Score,Computation Time,Standard Deviation,Budget,Find Components,Graph Type,Sampling Model,Prediction Method
91.3,0.5124319314956665,8.499019551297275,10,False,None-None,<class 'QueryModels.RandomSampling'>,1fermat
98.0,0.5169762134552002,2.981423969999724,10,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
76.4,0.05496528148651123,4.6475800154489,10,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
97.2,0.5328182697296142,1.549193338482967,10,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
97.9,0.5285882949829102,2.6853512081497133,10,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
89.4,0.06333725452423096,2.7968235951204035,10,False,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
96.9,1.2024787664413452,3.2812599206199247,10,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
98.3,1.1887746572494506,2.110818693198341,10,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
77.4,0.7804741621017456,5.059644256269405,10,False,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
96.8,1.2402696371078492,2.2509257354845493,10,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
96.1,1.2419846296310424,4.1486276177925525,10,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
71.3,0.7690454959869385,7.498888806572166,10,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
96.2,1.0596337795257569,2.7406406388125957,10,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
73.2,1.0998999357223511,24.584547992590792,10,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
60.7,0.6308763742446899,7.860590874030328,10,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
97.2,1.2115677833557128,3.1902629637347735,10,False,full-1fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
98.8,1.1689881086349487,0.7888106377466206,10,False,full-1fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
88.3,0.7981708526611329,3.9454615277134124,10,False,full-1fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
98.7,1.2254347801208496,0.9486832980505128,10,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
98.7,1.2201269149780274,1.3374935098492575,10,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
93.2,0.8511530160903931,3.9101008796307157,10,False,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
97.7,0.9988810300827027,1.3374935098492573,10,False,knn-1fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
96.5,0.946111512184143,3.4721111093332766,10,False,knn-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
79.5,0.5090761184692383,5.892556509887896,10,False,knn-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
97.5,0.9864008665084839,2.121320343559641,10,False,knn-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
99.3,1.0327049970626831,0.9486832980505149,10,False,knn-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
88.1,0.5505092859268188,3.984692933938294,10,False,knn-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
97.2,0.6338257312774658,2.936362072739363,10,False,knn-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
94.0,0.6179093360900879,15.513435037626794,10,False,knn-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
67.8,0.22755491733551025,14.12484021541876,10,False,knn-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
99.2,1.001758098602295,0.42163702135578635,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,1fermat
99.6,0.9676495552062988,0.6992058987800976,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
82.4,0.5321796655654907,7.214183560490016,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
50.0,1.074580693244934,0.0,10,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
50.0,1.0914753437042237,0.0,10,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
50.0,0.5890641927719116,0.0,10,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
99.2,1.247208833694458,0.4216370213557823,10,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
99.5,1.22928626537323,0.5270462766947299,10,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
81.9,0.8380543947219848,5.445691467165171,10,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
99.1,1.2504340410232544,0.8755950357709132,10,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
99.3,1.2291090488433838,0.4830458915396442,10,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
82.1,0.7787802219390869,6.045200116161946,10,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
99.0,1.2090813636779785,0.9428090415820659,10,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
99.8,1.183756136894226,0.4216370213557853,10,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
79.7,0.7999366044998169,7.9169298201877325,10,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
99.2,1.0816857099533081,0.9189365834726804,10,epsilon,full-1fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
99.2,1.1032217025756836,0.7888106377466149,10,epsilon,full-1fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
79.4,0.6070849418640136,10.543033508225017,10,epsilon,full-1fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
99.1,1.141902542114258,0.7378647873726223,10,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
99.6,1.117026114463806,0.6992058987800996,10,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
79.9,0.6248593330383301,7.046669820245271,10,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
99.0,1.146242356300354,0.666666666666667,10,epsilon,knn-1fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
99.4,1.167700171470642,0.6992058987801019,10,epsilon,knn-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
79.8,0.7173584938049317,9.953223933312596,10,epsilon,knn-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
99.1,1.1913865566253663,0.8755950357709162,10,epsilon,knn-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
99.5,1.189313530921936,0.5270462766947293,10,epsilon,knn-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
84.3,0.727174186706543,8.920014947670584,10,epsilon,knn-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
99.0,1.0364355087280273,0.0,10,epsilon,knn-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
99.7,1.0803746938705445,0.4830458915396472,10,epsilon,knn-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
76.7,0.614254641532898,10.392839415246977,10,epsilon,knn-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
93.4,0.5682516813278198,8.909420731886996,10,knn,None-None,<class 'QueryModels.RandomSampling'>,1fermat
