Score,Computation Time,Budget,Find Components,Graph Type,Sampling Model,Prediction Method
90.0,0.47159862518310547,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
100.0,0.8370044231414795,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,1fermat
100.0,0.8075864315032959,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
50.0,0.7162744998931885,10,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
50.0,1.1067256927490234,10,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
50.0,1.2265841960906982,10,epsilon,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
93.0,0.5912714004516602,10,epsilon,full-1fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
100.0,0.9200677871704102,10,epsilon,full-1fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
100.0,0.9705557823181152,10,epsilon,full-1fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
79.0,0.6182563304901123,10,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
98.0,1.0203893184661865,10,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
100.0,0.9988617897033691,10,epsilon,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
93.0,0.6519289016723633,10,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
100.0,1.2085270881652832,10,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
100.0,1.1676313877105713,10,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
89.0,0.7897748947143555,10,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
99.0,1.2966670989990234,10,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
100.0,1.0864980220794678,10,epsilon,epsilon-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
73.0,0.6742169857025146,10,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
98.0,1.1634762287139893,10,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
99.0,1.0188498497009277,10,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
73.0,0.5232696533203125,10,epsilon,knn-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
99.0,0.9373493194580078,10,epsilon,knn-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
100.0,1.0339505672454834,10,epsilon,knn-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
86.0,0.8494582176208496,10,epsilon,knn-1fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
100.0,1.1047234535217285,10,epsilon,knn-1fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
99.0,1.2276034355163574,10,epsilon,knn-1fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
94.0,0.9401702880859375,10,epsilon,knn-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
99.0,1.3477692604064941,10,epsilon,knn-2fermat,<class 'QueryModels.ProbCoverSampling'>,1fermat
99.0,1.1263902187347412,10,epsilon,knn-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
68.0,0.12230753898620605,10,knn,None-None,<class 'QueryModels.RandomSampling'>,euclidean
99.0,0.5569138526916504,10,knn,None-None,<class 'QueryModels.RandomSampling'>,1fermat
99.0,0.5658290386199951,10,knn,None-None,<class 'QueryModels.RandomSampling'>,2fermat
75.0,0.37210750579833984,10,knn,None-euclidean,<class 'QueryModels.KmeansSampling'>,euclidean
50.0,0.8527705669403076,10,knn,None-euclidean,<class 'QueryModels.KmeansSampling'>,1fermat
50.0,0.798926591873169,10,knn,None-euclidean,<class 'QueryModels.KmeansSampling'>,2fermat
90.0,0.1682453155517578,10,knn,full-1fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
97.0,0.7315528392791748,10,knn,full-1fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
99.0,0.681464433670044,10,knn,full-1fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
93.0,0.9118013381958008,10,knn,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,euclidean
95.0,1.3694024085998535,10,knn,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,1fermat
100.0,0.7474794387817383,10,knn,full-2fermat,<class 'QueryModels.GraphKmeansSampling'>,2fermat
80.0,0.3136711120605469,10,knn,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
50.0,1.1910395622253418,10,knn,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,1fermat
