Score,Computation Time,Standard Deviation,Budget,Find Components,Graph Type,Sampling Model,Prediction Method
69.93333333333334,1772057035.9377408,15.85860139152372,10,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
70.4,1772057035.728108,13.431306712304652,10,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
65.8,1772057042.014844,17.138928121176576,10,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
59.0,1772057041.4271128,7.230886134196436,10,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
74.6,1772057037.7066705,16.719535195179834,10,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
73.13333333333334,1772057037.3196604,11.73436142681987,10,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
79.13333333333334,1772057031.4947789,21.26656217320201,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
78.86666666666666,1772057031.1255257,18.757347766624555,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
80.8,1772057035.1371586,19.019538825714392,10,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
78.73333333333333,1772057034.468867,20.51294597031232,10,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
83.66666666666667,1772057032.3282318,18.101565309847285,10,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
81.33333333333333,1772057031.9105709,17.23645085553398,10,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
72.46666666666667,1772057033.5885053,17.89998669858511,10,knn,None-None,<class 'QueryModels.RandomSampling'>,2fermat
72.53333333333333,1772057033.363073,14.7738507731284,10,knn,None-None,<class 'QueryModels.RandomSampling'>,euclidean
75.2,1772057039.181522,16.182883373667202,10,knn,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
69.26666666666667,1772057038.6294568,16.267700981948717,10,knn,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
81.33333333333333,1772057034.2715962,18.43779761664557,10,knn,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
75.06666666666666,1772057033.8778977,14.699206327780647,10,knn,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
77.2,1772057036.0484636,15.902380774139269,20,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
78.46666666666667,1772057035.7414591,17.58191711741952,20,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
70.53333333333333,1772057042.1211512,18.806787022116193,20,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
65.53333333333333,1772057041.4405615,15.319766254588812,20,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
83.46666666666667,1772057037.818527,15.761012778673962,20,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
82.86666666666666,1772057037.333047,16.830527819015856,20,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
83.93333333333334,1772057031.6169786,18.467990325605726,20,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
81.93333333333334,1772057031.1498845,18.85458135560793,20,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
84.33333333333333,1772057037.5983343,19.182084895870442,20,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
82.33333333333333,1772057036.703331,21.61238621937055,20,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
86.4,1772057032.5619397,17.40197033179207,20,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
83.46666666666667,1772057032.0509233,17.52087190698432,20,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
78.2,1772057033.7010298,14.722189278190156,20,knn,None-None,<class 'QueryModels.RandomSampling'>,2fermat
77.6,1772057033.3786652,18.294417571645024,20,knn,None-None,<class 'QueryModels.RandomSampling'>,euclidean
82.13333333333334,1772057043.0701337,17.828014338060626,20,knn,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
78.86666666666666,1772057042.6094894,18.25167963568859,20,knn,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
85.33333333333333,1772057034.59369,16.67618775665584,20,knn,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
82.66666666666667,1772057034.120027,17.83922910997264,20,knn,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
83.8,1772057036.1602318,15.987495113369071,30,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
80.53333333333333,1772057035.7556958,17.77183432395472,30,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
71.53333333333333,1772057042.2307112,18.749730156788416,30,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
68.2,1772057041.454982,18.29597926165356,30,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
86.8,1772057037.9328616,15.47440282715759,30,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
86.13333333333334,1772057037.3462873,17.662982544886138,30,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
86.2,1772057031.7396173,15.987495113369073,30,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
83.86666666666666,1772057031.1748993,19.34228035997332,30,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
85.73333333333333,1772057039.9885182,17.938253883278396,30,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
85.0,1772057038.966792,19.313207915827963,30,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
88.46666666666667,1772057032.835367,14.312165986953032,30,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
85.2,1772057032.2295222,18.20988742414406,30,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
84.06666666666666,1772057033.8161483,15.939468832638893,30,knn,None-None,<class 'QueryModels.RandomSampling'>,2fermat
83.46666666666667,1772057033.3946288,18.764962284103042,30,knn,None-None,<class 'QueryModels.RandomSampling'>,euclidean
84.6,1772057046.909206,15.47255634987315,30,knn,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
83.53333333333333,1772057046.43767,18.282961102257662,30,knn,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
87.66666666666667,1772057035.0073438,15.568588644477455,30,knn,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
85.66666666666667,1772057034.4350274,17.879224442538515,30,knn,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
85.86666666666666,1772057036.2735364,14.94211051580956,40,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
84.8,1772057035.7703385,18.497876325984787,40,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
73.13333333333334,1772057042.3398108,18.372598644513545,40,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
69.93333333333334,1772057041.4683387,18.39824008146535,40,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
88.73333333333333,1772057038.048072,13.661555374044905,40,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
87.86666666666666,1772057037.3597827,16.556684738310672,40,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
86.8,1772057031.8665106,16.112107248898262,40,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
85.86666666666666,1772057031.199714,18.56981677987414,40,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
87.06666666666666,1772057042.1694381,16.263309567712167,40,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
85.2,1772057041.0453253,19.698440837502126,40,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
89.53333333333333,1772057033.1465533,12.614428624547745,40,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
87.13333333333334,1772057032.4468837,16.999439766679146,40,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
86.73333333333333,1772057033.9314272,13.306639946532957,40,knn,None-None,<class 'QueryModels.RandomSampling'>,2fermat
85.2,1772057033.4099095,18.338873621743666,40,knn,None-None,<class 'QueryModels.RandomSampling'>,euclidean
86.8,1772057051.0103405,14.122929683926875,40,knn,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
83.73333333333333,1772057050.5021358,18.69479173714535,40,knn,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
88.86666666666666,1772057035.5011747,13.76261326236859,40,knn,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
88.0,1772057034.8260565,16.278820596099706,40,knn,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
87.6,1772057036.3900592,13.736291868103063,50,False,None-None,<class 'QueryModels.RandomSampling'>,2fermat
86.2,1772057035.785876,17.70068602383212,50,False,None-None,<class 'QueryModels.RandomSampling'>,euclidean
74.06666666666666,1772057042.4527047,18.029605283163207,50,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
70.86666666666666,1772057041.4814706,18.51974493293448,50,False,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
90.13333333333334,1772057038.1652036,12.188206633971257,50,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
89.53333333333333,1772057037.3732219,14.608542836625555,50,False,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
87.73333333333333,1772057031.994283,14.290189775140279,50,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
85.53333333333333,1772057031.2251744,18.783985073410147,50,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
87.8,1772057044.3917956,14.89582875457805,50,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
86.4,1772057043.0673337,18.47314653374305,50,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
90.66666666666667,1772057033.5081875,11.081945849422103,50,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
88.33333333333333,1772057032.6975598,15.800843859321777,50,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
88.33333333333333,1772057034.044206,13.79786042765154,50,knn,None-None,<class 'QueryModels.RandomSampling'>,2fermat
85.0,1772057033.425758,17.71198141694728,50,knn,None-None,<class 'QueryModels.RandomSampling'>,euclidean
87.66666666666667,1772057054.823236,13.646907900256938,50,knn,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,2fermat
86.73333333333333,1772057054.3754883,16.782076606847415,50,knn,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
