Score,Computation Time,Budget,Find Components,Graph Type,Sampling Model,Prediction Method
52.0,1772056984.7475064,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
55.0,1772056984.7552426,20,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
59.0,1772056984.7641783,30,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
59.0,1772056984.7746701,40,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
58.0,1772056984.790057,50,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
67.0,1772056984.802805,75,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
72.0,1772056984.813873,100,epsilon,None-None,<class 'QueryModels.RandomSampling'>,euclidean
50.0,1772056984.8167877,10,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
58.0,1772056984.9156623,20,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
63.0,1772056985.0156252,30,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
64.0,1772056985.1122148,40,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
67.0,1772056985.2208443,50,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
77.0,1772056985.3319778,75,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
78.0,1772056985.4342153,100,epsilon,None-None,<class 'QueryModels.RandomSampling'>,2fermat
57.0,1772056984.866583,10,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
62.0,1772056985.0496402,20,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
64.0,1772056985.2956328,30,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
66.0,1772056985.5939507,40,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
68.0,1772056985.938393,50,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
76.0,1772056986.4462423,75,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
84.0,1772056987.115393,100,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,euclidean
60.0,1772056984.9484346,10,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
60.0,1772056985.2436538,20,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
68.0,1772056985.5843139,30,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
70.0,1772056985.9808793,40,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
76.0,1772056986.4732065,50,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
80.0,1772056987.1396039,75,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
85.0,1772056987.97684,100,epsilon,epsilon-euclidean,<class 'QueryModels.ProbCoverSampling'>,2fermat
47.0,1772056990.0187862,10,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
53.0,1772056995.1872292,20,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
56.0,1772057001.5200405,30,epsilon,epsilon-2fermat,<class 'QueryModels.ProbCoverSampling'>,euclidean
